Date,Name,Total price,Current price
31-10-2019 16:07,'CyberLink PowerDirector 16 Ultra',69.99,69.99
31-10-2019 16:07,'Happy together - Catgirl',4.99,2.99
31-10-2019 16:07,'Direwolf - Supporter's Package',14.99,11.24
31-10-2019 16:07,'Wildilfe Park 3 - Alaska',8.99,7.19
31-10-2019 16:07,'Room Planner - Design Home 3D',41.99,20.99
31-10-2019 16:07,'Wildlife Park 3 - Amazonas',8.99,7.19
31-10-2019 16:07,'Murgles',7.39,5.54
31-10-2019 16:07,"'Wondershare Uniconverter-Video Converter, Video Editor, Video Compressor, Video Recorder, DVD Burner'",49.99,49.99
31-10-2019 16:07,'FSX Steam Edition: VFR Real Scenery NexGen 3D - Vol. 1: Southern England and South Wales Add-On',30.95,30.95
31-10-2019 16:07,'Street Fighter V - Nostalgia Costumes Bundle S1-S3',19.99,19.99
31-10-2019 16:07,'In the beginning',8.19,8.19
31-10-2019 16:07,'CarX Drift Racing Online - Canyon trip',2.99,1.67
31-10-2019 16:07,'Fluffy Store - Listening with you',1.59,0.95
31-10-2019 16:07,'DW8E: Original Costume Pack',19.99,19.99
31-10-2019 16:07,'EARTH DEFENSE FORCE: IRON RAIN - Operator Voice : Riho Futaba (Japanese voice only)',2.39,2.39
31-10-2019 16:07,'Wildlife Park 3 - Creatures of the Caribbean',9.99,7.99
31-10-2019 16:07,'Heroes of a Broken Land 2',20.99,20.99
31-10-2019 16:07,'探灵笔记-小枳·惊魂捣蛋鬼（附送29999灵币）',8.19,5.56
31-10-2019 16:07,'Company of Heroes 2 - David Sheldrick Trust Charity Pattern Pack',14.99,14.99
31-10-2019 16:07,'Yu-Gi-Oh! ZEXAL Dark Mist Saga',4.99,4.99
31-10-2019 16:07,'CarX Drift Racing Online - Russian Drift Style',2.99,1.67
31-10-2019 16:07,'FSX Steam Edition: VFR Real Scenery NexGen 3D - Vol. 3: Northern England Add-On',30.95,30.95
31-10-2019 16:07,'EARTH DEFENSE FORCE 5 - Wing Diver Support Device Reverse Core S-Type',2.39,2.39
31-10-2019 16:07,'Hob Official Soundtrack (FLAC+MP3)',9.99,9.99
31-10-2019 16:07,'The Dwarves of Glistenveld',11.59,11.59
31-10-2019 16:07,'BOW MAN',12.49,12.49
31-10-2019 16:07,'Tracon!2012:SE',31.99,15.99
31-10-2019 16:07,'Fallout New Vegas - Soundtrack',11.99,11.99
31-10-2019 16:07,'Video deluxe 2020 Steam Edition',69.99,69.99
31-10-2019 16:07,'Sougetsu Ninja: Kikyou',8.19,4.09
31-10-2019 16:07,'killer7: 2018 Remastered Original Soundtrack',9.99,6.49
31-10-2019 16:07,'KurtzPel - Aqua Giant Hammer',7.03,7.03
31-10-2019 16:07,'CHOP',9.99,4.99
